term,estimate,se,nct_id,model_n,outcome
I(age_std^2),0.455,0.409,NCT00207766,16,early_withdrawal
sexTRUE,0.322,0.517,NCT00207766,16,early_withdrawal
como_cnt,0.286,0.173,NCT00207766,16,early_withdrawal
armtreat:age_std,-0.654,1.875,NCT00207766,16,early_withdrawal
armtreat:I(age_std^2),-0.506,0.685,NCT00207766,16,early_withdrawal
armtreat:sexTRUE,0.536,0.776,NCT00207766,16,early_withdrawal
(Intercept),-2.896,0.908,NCT00207766,17,early_withdrawal
armtreat,-0.149,1.231,NCT00207766,17,early_withdrawal
age_std,1.024,1.199,NCT00207766,17,early_withdrawal
I(age_std^2),0.596,0.422,NCT00207766,17,early_withdrawal
sexTRUE,0.359,0.518,NCT00207766,17,early_withdrawal
como_cnt,0.957,0.516,NCT00207766,17,early_withdrawal
I(como_cnt^2),-0.206,0.158,NCT00207766,17,early_withdrawal
armtreat:age_std,-0.947,1.885,NCT00207766,17,early_withdrawal
armtreat:I(age_std^2),-0.624,0.691,NCT00207766,17,early_withdrawal
armtreat:sexTRUE,0.481,0.777,NCT00207766,17,early_withdrawal
(Intercept),-2.577,1.014,NCT00207766,18,early_withdrawal
armtreat,-0.332,1.462,NCT00207766,18,early_withdrawal
age_std,0.711,1.189,NCT00207766,18,early_withdrawal
I(age_std^2),0.463,0.409,NCT00207766,18,early_withdrawal
sexTRUE,0.303,0.52,NCT00207766,18,early_withdrawal
como_cnt,0.234,0.257,NCT00207766,18,early_withdrawal
armtreat:age_std,-0.703,1.883,NCT00207766,18,early_withdrawal
armtreat:I(age_std^2),-0.509,0.684,NCT00207766,18,early_withdrawal
armtreat:sexTRUE,0.581,0.794,NCT00207766,18,early_withdrawal
armtreat:como_cnt,0.095,0.346,NCT00207766,18,early_withdrawal
(Intercept),-3.075,1.04,NCT00207766,19,early_withdrawal
armtreat,0.03,1.501,NCT00207766,19,early_withdrawal
age_std,1.392,1.223,NCT00207766,19,early_withdrawal
I(age_std^2),0.741,0.438,NCT00207766,19,early_withdrawal
sexTRUE,0.393,0.527,NCT00207766,19,early_withdrawal
como_cnt,1.809,0.933,NCT00207766,19,early_withdrawal
I(como_cnt^2),-0.532,0.313,NCT00207766,19,early_withdrawal
armtreat:age_std,-1.379,1.905,NCT00207766,19,early_withdrawal
armtreat:I(age_std^2),-0.784,0.702,NCT00207766,19,early_withdrawal
armtreat:sexTRUE,0.477,0.795,NCT00207766,19,early_withdrawal
armtreat:como_cnt,-1.187,1.09,NCT00207766,19,early_withdrawal
armtreat:I(como_cnt^2),0.453,0.343,NCT00207766,19,early_withdrawal
(Intercept),-2.027,0.792,NCT00207766,20,early_withdrawal
armtreat,-0.284,1.246,NCT00207766,20,early_withdrawal
age_std,0.932,1.169,NCT00207766,20,early_withdrawal
I(age_std^2),0.502,0.407,NCT00207766,20,early_withdrawal
sexTRUE,0.226,0.511,NCT00207766,20,early_withdrawal
armtreat:age_std,-0.922,1.885,NCT00207766,20,early_withdrawal
armtreat:I(age_std^2),-0.581,0.688,NCT00207766,20,early_withdrawal
armtreat:sexTRUE,0.489,0.773,NCT00207766,20,early_withdrawal
(Intercept),-2.221,0.279,NCT00207766,21,early_withdrawal
como_cnt,0.19,0.16,NCT00207766,21,early_withdrawal
(Intercept),-2.453,0.355,NCT00207766,22,early_withdrawal
como_cnt,0.704,0.466,NCT00207766,22,early_withdrawal
I(como_cnt^2),-0.155,0.139,NCT00207766,22,early_withdrawal
(Intercept),-1.983,0.384,NCT00207766,23,early_withdrawal
como_cnt,0.088,0.236,NCT00207766,23,early_withdrawal
armtreat,-0.479,0.563,NCT00207766,23,early_withdrawal
como_cnt:armtreat,0.191,0.321,NCT00207766,23,early_withdrawal
(Intercept),-2.391,0.537,NCT00207766,24,early_withdrawal
armtreat,-0.236,0.736,NCT00207766,24,early_withdrawal
como_cnt,1.062,0.8,NCT00207766,24,early_withdrawal
I(como_cnt^2),-0.329,0.268,NCT00207766,24,early_withdrawal
armtreat:como_cnt,-0.459,0.972,NCT00207766,24,early_withdrawal
armtreat:I(como_cnt^2),0.244,0.302,NCT00207766,24,early_withdrawal
(Intercept),-2.633,0.521,NCT00207766,25,early_withdrawal
age_std,-0.261,0.26,NCT00207766,25,early_withdrawal
como_cnt,0.227,0.166,NCT00207766,25,early_withdrawal
(Intercept),-2.871,0.57,NCT00207766,26,early_withdrawal
age_std,-0.266,0.262,NCT00207766,26,early_withdrawal
como_cnt,0.731,0.468,NCT00207766,26,early_withdrawal
I(como_cnt^2),-0.151,0.139,NCT00207766,26,early_withdrawal
(Intercept),-2.417,0.604,NCT00207766,27,early_withdrawal
age_std,-0.25,0.263,NCT00207766,27,early_withdrawal
como_cnt,0.15,0.244,NCT00207766,27,early_withdrawal
armtreat,-0.41,0.566,NCT00207766,27,early_withdrawal
como_cnt:armtreat,0.144,0.325,NCT00207766,27,early_withdrawal
(Intercept),-2.878,0.721,NCT00207766,28,early_withdrawal
age_std,-0.274,0.265,NCT00207766,28,early_withdrawal
armtreat,-0.152,0.739,NCT00207766,28,early_withdrawal
como_cnt,1.188,0.82,NCT00207766,28,early_withdrawal
I(como_cnt^2),-0.355,0.277,NCT00207766,28,early_withdrawal
armtreat:como_cnt,-0.578,0.983,NCT00207766,28,early_withdrawal
armtreat:I(como_cnt^2),0.273,0.308,NCT00207766,28,early_withdrawal
(Intercept),-2.23,0.414,NCT00207766,29,early_withdrawal
age_std,-0.175,0.252,NCT00207766,29,early_withdrawal
(Intercept),-3.088,0.692,NCT00207766,30,early_withdrawal
armtreat,0.926,0.831,NCT00207766,30,early_withdrawal
age_std,-0.612,0.354,NCT00207766,30,early_withdrawal
como_cnt,0.243,0.167,NCT00207766,30,early_withdrawal
armtreat:age_std,0.789,0.515,NCT00207766,30,early_withdrawal
(Intercept),-3.382,0.747,NCT00207766,31,early_withdrawal
armtreat,1.022,0.845,NCT00207766,31,early_withdrawal
age_std,-0.64,0.361,NCT00207766,31,early_withdrawal
como_cnt,0.771,0.48,NCT00207766,31,early_withdrawal
I(como_cnt^2),-0.16,0.145,NCT00207766,31,early_withdrawal
armtreat:age_std,0.829,0.522,NCT00207766,31,early_withdrawal
(Intercept),-3.068,0.788,NCT00207766,32,early_withdrawal
armtreat,0.892,1.05,NCT00207766,32,early_withdrawal
age_std,-0.607,0.365,NCT00207766,32,early_withdrawal
como_cnt,0.234,0.252,NCT00207766,32,early_withdrawal
armtreat:age_std,0.782,0.532,NCT00207766,32,early_withdrawal
armtreat:como_cnt,0.018,0.336,NCT00207766,32,early_withdrawal
(Intercept),-3.608,0.907,NCT00207766,33,early_withdrawal
armtreat,1.272,1.181,NCT00207766,33,early_withdrawal
age_std,-0.662,0.376,NCT00207766,33,early_withdrawal
como_cnt,1.378,0.848,NCT00207766,33,early_withdrawal
I(como_cnt^2),-0.398,0.289,NCT00207766,33,early_withdrawal
armtreat:age_std,0.833,0.539,NCT00207766,33,early_withdrawal
armtreat:como_cnt,-0.821,1.013,NCT00207766,33,early_withdrawal
armtreat:I(como_cnt^2),0.317,0.321,NCT00207766,33,early_withdrawal
(Intercept),-2.628,0.607,NCT00207766,34,early_withdrawal
armtreat,0.859,0.83,NCT00207766,34,early_withdrawal
age_std,-0.502,0.347,NCT00207766,34,early_withdrawal
armtreat:age_std,0.743,0.514,NCT00207766,34,early_withdrawal
(Intercept),-2.212,0.639,NCT00207766,35,early_withdrawal
age_std,0.628,0.884,NCT00207766,35,early_withdrawal
I(age_std^2),0.329,0.316,NCT00207766,35,early_withdrawal
como_cnt,0.216,0.166,NCT00207766,35,early_withdrawal
(Intercept),-2.407,0.662,NCT00207766,36,early_withdrawal
age_std,0.794,0.898,NCT00207766,36,early_withdrawal
I(age_std^2),0.394,0.323,NCT00207766,36,early_withdrawal
como_cnt,0.797,0.482,NCT00207766,36,early_withdrawal
I(como_cnt^2),-0.175,0.144,NCT00207766,36,early_withdrawal
(Intercept),-1.987,0.712,NCT00207766,37,early_withdrawal
age_std,0.64,0.889,NCT00207766,37,early_withdrawal
I(age_std^2),0.328,0.316,NCT00207766,37,early_withdrawal
como_cnt,0.128,0.243,NCT00207766,37,early_withdrawal
armtreat,-0.416,0.565,NCT00207766,37,early_withdrawal
como_cnt:armtreat,0.166,0.323,NCT00207766,37,early_withdrawal
(Intercept),-2.409,0.783,NCT00207766,38,early_withdrawal
age_std,0.894,0.9,NCT00207766,38,early_withdrawal
I(age_std^2),0.435,0.325,NCT00207766,38,early_withdrawal
armtreat,-0.083,0.746,NCT00207766,38,early_withdrawal
como_cnt,1.331,0.835,NCT00207766,38,early_withdrawal
I(como_cnt^2),-0.407,0.282,NCT00207766,38,early_withdrawal
armtreat:como_cnt,-0.716,1.002,NCT00207766,38,early_withdrawal
armtreat:I(como_cnt^2),0.324,0.315,NCT00207766,38,early_withdrawal
(Intercept),-1.789,0.539,NCT00207766,39,early_withdrawal
age_std,0.783,0.88,NCT00207766,39,early_withdrawal
I(age_std^2),0.354,0.315,NCT00207766,39,early_withdrawal
(Intercept),-2.422,0.83,NCT00207766,40,early_withdrawal
armtreat,0.25,1.108,NCT00207766,40,early_withdrawal
age_std,0.748,1.166,NCT00207766,40,early_withdrawal
I(age_std^2),0.485,0.405,NCT00207766,40,early_withdrawal
como_cnt,0.232,0.167,NCT00207766,40,early_withdrawal
armtreat:age_std,-0.634,1.828,NCT00207766,40,early_withdrawal
armtreat:I(age_std^2),-0.511,0.669,NCT00207766,40,early_withdrawal
(Intercept),-2.615,0.84,NCT00207766,41,early_withdrawal
armtreat,0.199,1.109,NCT00207766,41,early_withdrawal
age_std,1.063,1.188,NCT00207766,41,early_withdrawal
I(age_std^2),0.611,0.418,NCT00207766,41,early_withdrawal
como_cnt,0.879,0.501,NCT00207766,41,early_withdrawal
I(como_cnt^2),-0.196,0.153,NCT00207766,41,early_withdrawal
armtreat:age_std,-0.916,1.846,NCT00207766,41,early_withdrawal
armtreat:I(age_std^2),-0.629,0.678,NCT00207766,41,early_withdrawal
(Intercept),-2.368,0.933,NCT00207766,42,early_withdrawal
armtreat,0.163,1.303,NCT00207766,42,early_withdrawal
age_std,0.769,1.178,NCT00207766,42,early_withdrawal
I(age_std^2),0.489,0.406,NCT00207766,42,early_withdrawal
como_cnt,0.208,0.252,NCT00207766,42,early_withdrawal
armtreat:age_std,-0.66,1.839,NCT00207766,42,early_withdrawal
armtreat:I(age_std^2),-0.514,0.669,NCT00207766,42,early_withdrawal
armtreat:como_cnt,0.043,0.336,NCT00207766,42,early_withdrawal
(Intercept),-2.811,0.963,NCT00207766,43,early_withdrawal
armtreat,0.44,1.362,NCT00207766,43,early_withdrawal
age_std,1.371,1.21,NCT00207766,43,early_withdrawal
I(age_std^2),0.738,0.433,NCT00207766,43,early_withdrawal
como_cnt,1.707,0.91,NCT00207766,43,early_withdrawal
I(como_cnt^2),-0.509,0.308,NCT00207766,43,early_withdrawal
armtreat:age_std,-1.282,1.863,NCT00207766,43,early_withdrawal
armtreat:I(age_std^2),-0.77,0.687,NCT00207766,43,early_withdrawal
armtreat:como_cnt,-1.15,1.065,NCT00207766,43,early_withdrawal
armtreat:I(como_cnt^2),0.428,0.337,NCT00207766,43,early_withdrawal
(Intercept),-1.917,0.744,NCT00207766,44,early_withdrawal
armtreat,0.118,1.11,NCT00207766,44,early_withdrawal
age_std,0.954,1.163,NCT00207766,44,early_withdrawal
I(age_std^2),0.517,0.405,NCT00207766,44,early_withdrawal
armtreat:age_std,-0.783,1.836,NCT00207766,44,early_withdrawal
armtreat:I(age_std^2),-0.544,0.672,NCT00207766,44,early_withdrawal
(Intercept),-2.616,0.393,NCT00207766,45,early_withdrawal
sexTRUE,0.598,0.384,NCT00207766,45,early_withdrawal
como_cnt,0.24,0.163,NCT00207766,45,early_withdrawal
(Intercept),-2.861,0.453,NCT00207766,46,early_withdrawal
sexTRUE,0.607,0.383,NCT00207766,46,early_withdrawal
como_cnt,0.779,0.477,NCT00207766,46,early_withdrawal
I(como_cnt^2),-0.163,0.143,NCT00207766,46,early_withdrawal
(Intercept),-2.376,0.471,NCT00207766,47,early_withdrawal
sexTRUE,0.602,0.385,NCT00207766,47,early_withdrawal
como_cnt,0.137,0.238,NCT00207766,47,early_withdrawal
armtreat,-0.49,0.565,NCT00207766,47,early_withdrawal
como_cnt:armtreat,0.194,0.322,NCT00207766,47,early_withdrawal
(Intercept),-2.811,0.61,NCT00207766,48,early_withdrawal
sexTRUE,0.617,0.385,NCT00207766,48,early_withdrawal
armtreat,-0.225,0.737,NCT00207766,48,early_withdrawal
como_cnt,1.151,0.803,NCT00207766,48,early_withdrawal
I(como_cnt^2),-0.341,0.267,NCT00207766,48,early_withdrawal
armtreat:como_cnt,-0.497,0.976,NCT00207766,48,early_withdrawal
armtreat:I(como_cnt^2),0.256,0.302,NCT00207766,48,early_withdrawal
(Intercept),-2.263,0.291,NCT00207766,49,early_withdrawal
sexTRUE,0.496,0.375,NCT00207766,49,early_withdrawal
(Intercept),-2.416,0.457,NCT00207766,50,early_withdrawal
sexTRUE,0.439,0.504,NCT00207766,50,early_withdrawal
armtreat,-0.462,0.6,NCT00207766,50,early_withdrawal
como_cnt,0.241,0.165,NCT00207766,50,early_withdrawal
sexTRUE:armtreat,0.374,0.765,NCT00207766,50,early_withdrawal
(Intercept),-2.675,0.517,NCT00207766,51,early_withdrawal
sexTRUE,0.455,0.505,NCT00207766,51,early_withdrawal
armtreat,-0.409,0.601,NCT00207766,51,early_withdrawal
como_cnt,0.763,0.48,NCT00207766,51,early_withdrawal
I(como_cnt^2),-0.158,0.144,NCT00207766,51,early_withdrawal
sexTRUE:armtreat,0.353,0.766,NCT00207766,51,early_withdrawal
(Intercept),-2.231,0.512,NCT00207766,52,early_withdrawal
sexTRUE,0.393,0.506,NCT00207766,52,early_withdrawal
armtreat,-0.845,0.809,NCT00207766,52,early_withdrawal
como_cnt,0.12,0.239,NCT00207766,52,early_withdrawal
sexTRUE:armtreat,0.49,0.785,NCT00207766,52,early_withdrawal
armtreat:como_cnt,0.237,0.33,NCT00207766,52,early_withdrawal
(Intercept),-2.672,0.647,NCT00207766,53,early_withdrawal
sexTRUE,0.423,0.509,NCT00207766,53,early_withdrawal
armtreat,-0.552,0.936,NCT00207766,53,early_withdrawal
como_cnt,1.122,0.804,NCT00207766,53,early_withdrawal
I(como_cnt^2),-0.337,0.268,NCT00207766,53,early_withdrawal
sexTRUE:armtreat,0.446,0.782,NCT00207766,53,early_withdrawal
armtreat:como_cnt,-0.448,0.98,NCT00207766,53,early_withdrawal
armtreat:I(como_cnt^2),0.252,0.303,NCT00207766,53,early_withdrawal
(Intercept),-2.064,0.375,NCT00207766,54,early_withdrawal
sexTRUE,0.351,0.498,NCT00207766,54,early_withdrawal
armtreat,-0.454,0.597,NCT00207766,54,early_withdrawal
sexTRUE:armtreat,0.342,0.762,NCT00207766,54,early_withdrawal
(Intercept),-2.045,0.221,NCT00236028,1,early_withdrawal
age_std,-0.081,0.133,NCT00236028,1,early_withdrawal
sexTRUE,0.155,0.234,NCT00236028,1,early_withdrawal
como_cnt,0.233,0.098,NCT00236028,1,early_withdrawal
(Intercept),-1.831,0.237,NCT00236028,2,early_withdrawal
age_std,-0.056,0.134,NCT00236028,2,early_withdrawal
sexTRUE,0.124,0.235,NCT00236028,2,early_withdrawal
como_cnt,-0.228,0.237,NCT00236028,2,early_withdrawal
I(como_cnt^2),0.129,0.062,NCT00236028,2,early_withdrawal
(Intercept),-1.728,0.262,NCT00236028,3,early_withdrawal
age_std,-0.092,0.133,NCT00236028,3,early_withdrawal
sexTRUE,0.179,0.235,NCT00236028,3,early_withdrawal
como_cnt,0.081,0.142,NCT00236028,3,early_withdrawal
armtreat,-0.64,0.311,NCT00236028,3,early_withdrawal
como_cnt:armtreat,0.29,0.188,NCT00236028,3,early_withdrawal
(Intercept),-1.399,0.276,NCT00236028,4,early_withdrawal
age_std,-0.065,0.135,NCT00236028,4,early_withdrawal
sexTRUE,0.155,0.237,NCT00236028,4,early_withdrawal
armtreat,-0.919,0.347,NCT00236028,4,early_withdrawal
como_cnt,-0.756,0.347,NCT00236028,4,early_withdrawal
I(como_cnt^2),0.242,0.097,NCT00236028,4,early_withdrawal
armtreat:como_cnt,1.084,0.486,NCT00236028,4,early_withdrawal
armtreat:I(como_cnt^2),-0.232,0.132,NCT00236028,4,early_withdrawal
(Intercept),-1.706,0.159,NCT00236028,5,early_withdrawal
age_std,0.012,0.126,NCT00236028,5,early_withdrawal
sexTRUE,0.109,0.231,NCT00236028,5,early_withdrawal
(Intercept),-2.093,0.274,NCT00236028,6,early_withdrawal
armtreat,0.14,0.321,NCT00236028,6,early_withdrawal
age_std,-0.246,0.179,NCT00236028,6,early_withdrawal
sexTRUE,0.49,0.335,NCT00236028,6,early_withdrawal
como_cnt,0.226,0.098,NCT00236028,6,early_withdrawal
armtreat:age_std,0.352,0.255,NCT00236028,6,early_withdrawal
armtreat:sexTRUE,-0.628,0.469,NCT00236028,6,early_withdrawal
(Intercept),-1.88,0.288,NCT00236028,7,early_withdrawal
armtreat,0.144,0.324,NCT00236028,7,early_withdrawal
age_std,-0.22,0.181,NCT00236028,7,early_withdrawal
sexTRUE,0.471,0.336,NCT00236028,7,early_withdrawal
como_cnt,-0.24,0.237,NCT00236028,7,early_withdrawal
I(como_cnt^2),0.131,0.062,NCT00236028,7,early_withdrawal
armtreat:age_std,0.351,0.256,NCT00236028,7,early_withdrawal
armtreat:sexTRUE,-0.647,0.471,NCT00236028,7,early_withdrawal
(Intercept),-1.925,0.306,NCT00236028,8,early_withdrawal
armtreat,-0.203,0.443,NCT00236028,8,early_withdrawal
age_std,-0.206,0.182,NCT00236028,8,early_withdrawal
sexTRUE,0.467,0.334,NCT00236028,8,early_withdrawal
como_cnt,0.11,0.144,NCT00236028,8,early_withdrawal
armtreat:age_std,0.261,0.268,NCT00236028,8,early_withdrawal
armtreat:sexTRUE,-0.583,0.472,NCT00236028,8,early_withdrawal
armtreat:como_cnt,0.223,0.198,NCT00236028,8,early_withdrawal
(Intercept),-1.582,0.321,NCT00236028,9,early_withdrawal
armtreat,-0.513,0.481,NCT00236028,9,early_withdrawal
age_std,-0.161,0.186,NCT00236028,9,early_withdrawal
sexTRUE,0.433,0.338,NCT00236028,9,early_withdrawal
como_cnt,-0.708,0.348,NCT00236028,9,early_withdrawal
I(como_cnt^2),0.234,0.096,NCT00236028,9,early_withdrawal
armtreat:age_std,0.219,0.271,NCT00236028,9,early_withdrawal
armtreat:sexTRUE,-0.555,0.475,NCT00236028,9,early_withdrawal
armtreat:como_cnt,0.974,0.496,NCT00236028,9,early_withdrawal
armtreat:I(como_cnt^2),-0.216,0.132,NCT00236028,9,early_withdrawal
(Intercept),-1.775,0.229,NCT00236028,10,early_withdrawal
armtreat,0.157,0.319,NCT00236028,10,early_withdrawal
age_std,-0.17,0.176,NCT00236028,10,early_withdrawal
sexTRUE,0.447,0.332,NCT00236028,10,early_withdrawal
armtreat:age_std,0.377,0.254,NCT00236028,10,early_withdrawal
armtreat:sexTRUE,-0.628,0.467,NCT00236028,10,early_withdrawal
(Intercept),-2.045,0.221,NCT00236028,11,early_withdrawal
age_std,-0.089,0.244,NCT00236028,11,early_withdrawal
I(age_std^2),-0.005,0.129,NCT00236028,11,early_withdrawal
sexTRUE,0.155,0.234,NCT00236028,11,early_withdrawal
como_cnt,0.233,0.098,NCT00236028,11,early_withdrawal
(Intercept),-1.831,0.237,NCT00236028,12,early_withdrawal
age_std,-0.065,0.248,NCT00236028,12,early_withdrawal
I(age_std^2),-0.005,0.13,NCT00236028,12,early_withdrawal
sexTRUE,0.124,0.235,NCT00236028,12,early_withdrawal
como_cnt,-0.228,0.237,NCT00236028,12,early_withdrawal
I(como_cnt^2),0.129,0.062,NCT00236028,12,early_withdrawal
(Intercept),-1.728,0.262,NCT00236028,13,early_withdrawal
age_std,-0.098,0.246,NCT00236028,13,early_withdrawal
I(age_std^2),-0.004,0.13,NCT00236028,13,early_withdrawal
sexTRUE,0.18,0.235,NCT00236028,13,early_withdrawal
como_cnt,0.081,0.142,NCT00236028,13,early_withdrawal
armtreat,-0.64,0.311,NCT00236028,13,early_withdrawal
como_cnt:armtreat,0.289,0.188,NCT00236028,13,early_withdrawal
(Intercept),-1.398,0.276,NCT00236028,14,early_withdrawal
age_std,-0.077,0.249,NCT00236028,14,early_withdrawal
I(age_std^2),-0.008,0.131,NCT00236028,14,early_withdrawal
sexTRUE,0.156,0.237,NCT00236028,14,early_withdrawal
armtreat,-0.919,0.347,NCT00236028,14,early_withdrawal
como_cnt,-0.756,0.347,NCT00236028,14,early_withdrawal
I(como_cnt^2),0.242,0.097,NCT00236028,14,early_withdrawal
armtreat:como_cnt,1.084,0.487,NCT00236028,14,early_withdrawal
armtreat:I(como_cnt^2),-0.232,0.132,NCT00236028,14,early_withdrawal
(Intercept),-1.707,0.16,NCT00236028,15,early_withdrawal
age_std,0.027,0.237,NCT00236028,15,early_withdrawal
I(age_std^2),0.009,0.128,NCT00236028,15,early_withdrawal
sexTRUE,0.109,0.232,NCT00236028,15,early_withdrawal
(Intercept),-2.093,0.275,NCT00236028,16,early_withdrawal
armtreat,0.129,0.323,NCT00236028,16,early_withdrawal
age_std,-0.381,0.359,NCT00236028,16,early_withdrawal
I(age_std^2),-0.083,0.189,NCT00236028,16,early_withdrawal
sexTRUE,0.499,0.335,NCT00236028,16,early_withdrawal
como_cnt,0.229,0.098,NCT00236028,16,early_withdrawal
armtreat:age_std,0.552,0.481,NCT00236028,16,early_withdrawal
armtreat:I(age_std^2),0.126,0.261,NCT00236028,16,early_withdrawal
armtreat:sexTRUE,-0.638,0.47,NCT00236028,16,early_withdrawal
(Intercept),-1.88,0.289,NCT00236028,17,early_withdrawal
armtreat,0.133,0.326,NCT00236028,17,early_withdrawal
age_std,-0.371,0.364,NCT00236028,17,early_withdrawal
I(age_std^2),-0.091,0.189,NCT00236028,17,early_withdrawal
sexTRUE,0.48,0.336,NCT00236028,17,early_withdrawal
como_cnt,-0.24,0.237,NCT00236028,17,early_withdrawal
I(como_cnt^2),0.132,0.062,NCT00236028,17,early_withdrawal
armtreat:age_std,0.575,0.487,NCT00236028,17,early_withdrawal
armtreat:I(age_std^2),0.141,0.262,NCT00236028,17,early_withdrawal
armtreat:sexTRUE,-0.659,0.472,NCT00236028,17,early_withdrawal
(Intercept),-1.928,0.307,NCT00236028,18,early_withdrawal
armtreat,-0.207,0.444,NCT00236028,18,early_withdrawal
age_std,-0.32,0.362,NCT00236028,18,early_withdrawal
I(age_std^2),-0.069,0.188,NCT00236028,18,early_withdrawal
sexTRUE,0.474,0.334,NCT00236028,18,early_withdrawal
como_cnt,0.115,0.144,NCT00236028,18,early_withdrawal
armtreat:age_std,0.443,0.493,NCT00236028,18,early_withdrawal
armtreat:I(age_std^2),0.114,0.261,NCT00236028,18,early_withdrawal
armtreat:sexTRUE,-0.593,0.472,NCT00236028,18,early_withdrawal
armtreat:como_cnt,0.218,0.198,NCT00236028,18,early_withdrawal
(Intercept),-1.587,0.323,NCT00236028,19,early_withdrawal
armtreat,-0.513,0.482,NCT00236028,19,early_withdrawal
age_std,-0.297,0.373,NCT00236028,19,early_withdrawal
I(age_std^2),-0.081,0.191,NCT00236028,19,early_withdrawal
sexTRUE,0.442,0.338,NCT00236028,19,early_withdrawal
como_cnt,-0.705,0.349,NCT00236028,19,early_withdrawal
I(como_cnt^2),0.236,0.097,NCT00236028,19,early_withdrawal
armtreat:age_std,0.424,0.501,NCT00236028,19,early_withdrawal
armtreat:I(age_std^2),0.127,0.263,NCT00236028,19,early_withdrawal
armtreat:sexTRUE,-0.567,0.476,NCT00236028,19,early_withdrawal
armtreat:como_cnt,0.971,0.496,NCT00236028,19,early_withdrawal
armtreat:I(como_cnt^2),-0.217,0.133,NCT00236028,19,early_withdrawal
(Intercept),-1.772,0.231,NCT00236028,20,early_withdrawal
armtreat,0.147,0.321,NCT00236028,20,early_withdrawal
age_std,-0.262,0.355,NCT00236028,20,early_withdrawal
I(age_std^2),-0.056,0.187,NCT00236028,20,early_withdrawal
sexTRUE,0.452,0.333,NCT00236028,20,early_withdrawal
armtreat:age_std,0.535,0.478,NCT00236028,20,early_withdrawal
armtreat:I(age_std^2),0.101,0.259,NCT00236028,20,early_withdrawal
armtreat:sexTRUE,-0.635,0.467,NCT00236028,20,early_withdrawal
(Intercept),-1.92,0.155,NCT00236028,21,early_withdrawal
como_cnt,0.213,0.093,NCT00236028,21,early_withdrawal
(Intercept),-1.734,0.169,NCT00236028,22,early_withdrawal
como_cnt,-0.255,0.232,NCT00236028,22,early_withdrawal
I(como_cnt^2),0.133,0.061,NCT00236028,22,early_withdrawal
